"oz1","oz2","oz3","oz4","oz5","binaryClass"
-0.884043,0.751601,0.756124,-1.521581,0.203984,P
-1.516162,-0.778852,-0.935525,0.36152,-1.306545,P
1.27635,0.022499,-0.374163,1.50267,-0.609227,N
1.282011,1.030213,-0.326553,-1.53895,0.474845,P
-0.619048,1.560539,1.435116,-0.297633,-0.120658,N
-0.153774,1.572473,-0.23376,-0.900302,-1.11176,N
-1.293173,0.109598,-0.112372,0.747509,0.687816,P
0.054722,-0.863815,-0.363693,-0.32626,-1.386199,P
-1.676754,0.04053,0.808883,-0.835051,-0.674255,P
-1.426821,1.270393,0.799673,-0.068821,0.312008,P
1.74585,-0.553605,-0.964796,-0.136435,-0.746316,N
0.131736,-0.101714,1.022229,1.376968,-0.493995,N
0.192045,-0.775708,1.090409,1.229322,-1.296844,N
0.489108,0.338736,0.917609,1.305394,0.899885,N
-0.979415,0.446631,-1.123443,0.968353,-0.010337,N
-0.316495,-1.101566,-0.950522,0.18836,-0.58663,P
-0.178472,0.150181,1.622958,0.160336,-0.912728,N
-1.005958,0.640319,0.420007,-0.346208,0.111105,P
-1.031721,0.545954,1.362422,1.126351,0.953809,N
-0.855662,-1.608802,-1.116384,0.775191,1.658906,N
1.577325,-1.206964,0.265069,-0.126223,-1.769938,P
-0.995317,-1.315656,-1.202117,-1.472372,0.216051,P
1.157608,1.569282,1.001338,-1.744589,-1.637426,P
-1.328535,-0.94341,-1.752354,-1.75563,1.1682,P
-1.726751,0.393606,-0.648761,1.681138,0.356434,P
-0.380315,0.87758,0.173002,-0.136482,0.292349,N
0.502816,-1.242305,0.174289,-0.006254,-1.635362,P
-0.575807,1.36393,0.165853,-0.77536,0.995514,N
-0.487284,-0.528155,-0.290823,1.57437,-0.993772,N
-0.67338,-1.767539,-1.333013,-0.691411,-0.240097,P
0.0276,1.170788,0.177387,0.216283,1.239736,N
0.387064,-0.350311,-1.008958,-0.697425,-0.210718,N
1.197152,-1.181682,0.142546,-1.34217,0.466077,P
1.740437,-0.060265,0.962861,-0.360281,1.197587,N
0.035102,0.719075,-1.368525,0.527346,1.38466,N
-1.527904,-0.427949,-1.467797,0.120622,-0.850055,P
1.031126,-1.695045,0.679991,-0.112483,0.876755,P
1.309461,-0.445579,1.637297,0.198493,-0.420754,N
0.377544,0.359472,-1.235037,-1.141819,0.713887,N
1.52984,-0.230388,0.384649,1.427098,-0.137266,N
0.929705,0.210134,0.899719,-1.541937,-0.61015,N
-1.570098,-0.864326,1.569057,1.245534,0.352511,N
-1.310049,1.481409,-0.695367,-1.563198,1.374179,P
-0.310125,-0.230324,0.594466,1.269327,1.302932,N
-0.798092,1.029937,0.733048,0.427965,-1.64497,P
0.168411,0.686986,1.612975,0.545146,0.218944,N
-0.10273,0.231122,-1.646165,1.57269,-1.309802,N
-1.206764,-0.683711,-1.243236,-1.591252,-0.355024,P
1.744995,0.416565,-0.814563,-1.142528,-0.469708,P
-1.698363,-0.230653,-1.099418,0.35007,-0.889779,P
1.007218,1.224043,-1.121691,-1.253866,1.647461,N
1.272184,-0.348344,-0.866944,-0.309096,1.544367,N
-0.965896,1.452869,0.760343,1.060588,-0.50864,N
-0.47448,-1.522139,1.389182,1.219032,0.033626,N
1.267378,0.16067,1.005926,0.496014,1.137721,N
-1.059637,-1.431326,-1.198822,-1.596586,0.300814,P
-1.431615,0.309439,1.114437,-0.175054,0.65208,P
-1.049239,-1.387939,-0.988318,-1.621335,0.656701,P
1.131974,-0.135724,0.787276,-0.734618,0.52018,N
0.832516,-1.54738,1.490628,1.685128,1.726604,N
0.633382,0.370933,0.912414,0.443858,1.133673,N
-0.32844,0.593272,-1.802021,-0.865657,1.293941,N
-0.041031,-1.197377,-1.014857,1.025297,-0.780508,P
0.935437,-0.292727,1.183535,-1.730894,0.169741,N
1.244234,-0.475207,-1.075987,0.152643,1.701171,N
0.582344,-0.531542,1.053266,-0.810085,-1.121105,P
-1.059824,0.99241,-1.149202,0.065583,0.87756,N
-0.388198,-0.684988,-0.193664,0.839211,-0.240986,P
-1.421245,-1.172167,0.422699,0.288157,-0.030413,P
-1.630153,0.06722,0.465813,1.312623,-0.609756,P
-1.456799,1.301956,-0.770939,0.905934,-1.734464,P
-0.949246,1.529484,1.248796,-0.035573,-0.309604,P
-1.668901,0.362778,-0.023377,-1.416975,0.334816,P
0.082713,-1.340758,0.471446,0.975413,-0.627275,P
-0.160071,1.277628,0.455365,0.270672,-1.68866,N
1.397905,-0.773367,-0.13528,1.399277,-0.294956,N
0.752087,-1.748696,0.209,1.608298,0.723786,P
-1.223435,1.037586,1.647032,-1.004915,-0.222278,P
1.043844,-0.187902,0.087516,0.551322,1.506566,N
-1.285523,1.357671,-0.519948,-0.924145,0.497192,P
