DS_Name,T,N,p,k,Bin,Cost,SDratio,correl,cancor1,cancor2,fract1,fract2,skewness,kurtosis,Hc,Hx,MCx,EnAtr,NSRatio,Alg_Name,binaryClass
Aust_Credit,690,690,14,2,4,0,1.2623,0.1024,0.7713,,1,,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,Ac2,P
Aust_Credit,690,690,14,2,4,0,1.2623,0.1024,0.7713,,1,,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,Alloc80,P
Aust_Credit,690,690,14,2,4,0,1.2623,0.1024,0.7713,,1,,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,BackProp,P
Aust_Credit,690,690,14,2,4,0,1.2623,0.1024,0.7713,,1,,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,Bayes,P
Aust_Credit,690,690,14,2,4,0,1.2623,0.1024,0.7713,,1,,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,BayesTree,P
Aust_Credit,690,690,14,2,4,0,1.2623,0.1024,0.7713,,1,,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,C4_5,P
Aust_Credit,690,690,14,2,4,0,1.2623,0.1024,0.7713,,1,,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,CART,P
Aust_Credit,690,690,14,2,4,0,1.2623,0.1024,0.7713,,1,,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,Cal5,P
Aust_Credit,690,690,14,2,4,0,1.2623,0.1024,0.7713,,1,,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,Cascade,P
Aust_Credit,690,690,14,2,4,0,1.2623,0.1024,0.7713,,1,,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,Castle,P
Aust_Credit,690,690,14,2,4,0,1.2623,0.1024,0.7713,,1,,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,Cn2,P
Aust_Credit,690,690,14,2,4,0,1.2623,0.1024,0.7713,,1,,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,Default,P
Aust_Credit,690,690,14,2,4,0,1.2623,0.1024,0.7713,,1,,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,Dipol92,P
