"att1","att2","att3","att4","att5","att6","binaryClass"
1,0,0,133.150861,1.311693,1620.221779,P
1,0,0,126.724861,1.302745,1609.334822,P
1,0,0,131.173861,1.319031,1568.978435,P
1,0,0,129.478861,1.270878,1695.055281,P
1,0,0,127.262861,1.329637,1647.720235,P
1,0,0,131.058861,1.310403,2027.211367,P
1,0,0,138.442861,1.379906,1918.750472,P
1,0,0,129.346861,1.305646,1547.263727,P
1,0,0,139.542861,1.374661,1871.055934,P
1,0,0,132.628861,1.374434,1884.680458,P
1,0,0,128.684861,1.319394,1624.011556,P
1,0,0,129.346861,1.210899,1635.044099,P
1,0,0,141.072861,1.336216,2180.629149,P
1,0,0,130.810861,1.248912,1627.671359,P
1,0,0,131.868861,1.299064,1677.247402,P
1,0,0,128.618861,1.225879,1517.039218,P
1,0,0,127.129861,1.270321,1739.283124,P
1,0,0,135.846861,1.366889,1640.186583,P
1,0,0,127.758861,1.362188,1549.720967,P
1,0,0,134.324861,1.301996,1785.058233,P
1,0,0,127.923861,1.327469,1560.581747,P
1,0,0,128.800861,1.242598,1519.847054,P
1,0,0,132.422861,1.236974,1655.205001,P
1,0,0,129.288861,1.255408,1590.042076,P
1,0,0,136.110861,1.272122,1819.020085,P
1,0,0,131.322861,1.262507,1662.386954,P
1,0,0,134.258861,1.277449,1655.186876,P
1,0,0,134.506861,1.362977,1745.600125,P
1,0,0,131.702861,1.337155,1855.10493,P
1,0,0,134.820861,1.249143,1623.20697,P
1,0,0,130.322861,1.258018,1679.91193,P
1,0,0,128.469861,1.304331,1668.804985,P
1,0,0,129.817861,1.296367,1791.835534,P
1,0,0,123.268861,1.175559,1647.619186,P
1,0,0,123.342861,1.343222,1700.900026,P
1,0,0,133.034861,1.250948,1718.367277,P
1,0,0,129.164861,1.234612,1630.91695,P
1,0,0,133.232861,1.369648,1747.263857,P
1,0,0,130.156861,1.287706,1668.600995,P
1,0,0,123.887861,1.288205,1664.23941,P
1,0,0,130.694861,1.343557,1685.056222,P
1,0,0,122.448861,1.21294,1618.527005,P
1,0,0,127.948861,1.317956,1595.632139,P
1,0,0,132.976861,1.302848,1628.679826,P
1,0,0,128.916861,1.219017,1648.696015,P
1,0,0,136.226861,1.329887,1877.636421,P
1,0,0,134.820861,1.276998,1897.196661,P
1,0,0,134.249861,1.285432,1949.581306,P
1,0,0,125.136861,1.298548,1622.168475,P
1,0,0,130.578861,1.268686,1596.788072,P
1,0,0,124.384861,1.364778,1788.18042,P
1,0,0,134.804861,1.292236,1619.933005,P
1,0,0,124.136861,1.263616,1560.034174,P
1,0,0,128.122861,1.238959,1508.249286,P
1,0,0,127.766861,1.232623,1604.780162,P
1,0,0,131.198861,1.287761,1697.677432,P
1,0,0,128.858861,1.270186,1632.641545,P
1,0,0,133.282861,1.291134,1777.046545,P
1,0,0,133.306861,1.30766,1829.529741,P
1,0,0,126.774861,1.342144,1730.012685,P
1,0,0,127.948861,1.32415,1652.673224,P
1,0,0,129.552861,1.320467,1764.701054,P
1,0,0,127.650861,1.269962,1653.768568,P
1,0,0,132.794861,1.300281,1549.259053,P
1,0,0,130.156861,1.428109,1849.047453,P
1,0,0,136.822861,1.269062,1799.855201,P
1,0,0,133.018861,1.294699,1813.312452,P
1,0,0,135.300861,1.306836,1690.068384,P
1,0,0,125.310861,1.283107,1573.404626,P
1,0,0,135.862861,1.340864,1733.270959,P
1,0,0,130.958861,1.348961,1755.422128,P
1,0,0,130.140861,1.293127,1601.576424,P
1,0,0,124.996861,1.21807,1692.167937,P
1,0,0,128.924861,1.201011,1605.448565,P
1,0,0,134.018861,1.345078,1871.813126,P
1,0,0,129.676861,1.273593,1830.097057,P
1,0,0,128.667861,1.272193,1640.830426,P
1,0,0,126.998861,1.26663,1542.462627,P
1,0,0,132.678861,1.326601,1617.683221,P
1,0,0,123.945861,1.239283,1634.678494,P
1,0,0,130.230861,1.317101,1669.673789,P
1,0,0,128.973861,1.311147,1752.911256,P
1,0,0,124.425861,1.276571,1701.558585,P
1,0,0,132.215861,1.26305,1757.956207,P
1,0,0,131.802861,1.30883,1766.959705,P
1,0,0,127.460861,1.292413,1608.963832,P
1,0,0,130.578861,1.217083,1620.643384,P
1,0,0,126.278861,1.210506,1514.355177,P
1,0,0,125.600861,1.164346,1497.753302,P
1,0,0,130.660861,1.359555,1859.826849,P
1,0,0,134.936861,1.264624,1611.208565,P
1,0,0,130.636861,1.216297,1601.070959,P
1,0,0,126.956861,1.275816,1608.740609,P
1,0,0,136.648861,1.27366,1712.383206,P
1,0,0,136.392861,1.386569,1885.099585,P
1,0,0,133.298861,1.354236,1880.481171,P
1,0,0,125.186861,1.196588,1607.212267,P
1,0,0,128.419861,1.334423,1634.099606,P
1,0,0,125.070861,1.273953,1558.653074,P
1,0,0,131.372861,1.358671,1638.356526,P
