f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,clase
-0.66583,0.87068,0.20516,-0.59235,-0.89535,-0.67636,0.89248,0.27611,-0.59332,-0.96355,-0.66851,0.93894,0.52517,-0.55759,-1.03664,-0.65331,0.93602,0.64299,-0.57867,-1.04061,-0.00478,0.30898,0.01522,-0.13946,0.77118,-0.16201,0.62597,-0.0615,0.15432,0.95364,0.01909,0.32758,-0.0144,-0.1185,0.76322,0.85139,0.94797,0.91092,0.84426,0.82785,0.84868,sn
-0.57054,0.4311,-0.03807,-0.47932,-0.57176,-0.58902,0.47858,-0.0166,-0.48229,-0.7063,-0.58636,0.51437,0.00722,-0.51448,-0.79816,-0.55787,0.44019,-0.12683,-0.53767,-0.75385,-0.09439,-0.02688,0.30464,-0.29107,0.56024,-0.14131,-0.07043,0.28141,-0.32434,0.53481,0.02364,-0.12631,0.30713,-0.38094,0.41931,0.6095,0.47108,0.43495,0.36387,0.28662,0.26291,sn
-0.35195,0.85706,1.09299,-0.69975,-0.5129,-0.33215,0.84989,1.10431,-0.71182,-0.47699,-0.35994,0.89913,1.45243,-0.61874,-0.51526,-0.43599,0.93939,1.89267,-0.55843,-0.63875,0.81162,1.68494,-2.37767,1.81944,0.96745,0.72268,2.171,-2.98418,2.66376,0.99769,0.79992,1.65022,-2.39349,1.87498,0.96635,0.36393,0.66519,0.86423,0.99675,1.06345,1.0986,sn
5.14385,-2.05174,-1.04042,-0.08249,2.94199,5.01268,-2.05066,-1.04679,0.13784,3.03162,5.04903,-2.05856,-0.97911,0.59986,3.05524,5.17502,-2.06379,-0.91483,1.1224,3.12913,2.27417,-1.0125,0.46192,-0.61376,-2.23076,2.82633,-0.18241,-0.53748,-0.31073,-1.66519,2.34329,-0.81271,0.41261,-0.59008,-1.72641,-3.59764,-2.15153,-1.72468,-1.60085,-1.5688,-1.55293,sn
-0.52017,0.69792,0.26792,-0.64009,-0.45856,-0.53051,0.71758,0.29738,-0.63674,-0.50307,-0.5491,0.79628,0.62668,-0.55039,-0.59287,-0.57863,0.84723,0.95427,-0.52982,-0.71864,0.2003,0.73062,-0.9595,0.47371,0.74898,0.2906,1.17451,-1.46129,1.00414,0.90509,0.1976,0.73979,-1.01399,0.51431,0.74055,0.43602,0.53017,0.60799,0.64029,0.6573,0.69135,sn
-0.58526,0.44575,-0.19112,-0.40217,-0.72475,-0.59944,0.47454,-0.13858,-0.42534,-0.7829,-0.59138,0.47544,-0.13162,-0.49829,-0.80727,-0.56711,0.43742,-0.25163,-0.46077,-0.71286,-0.01262,-0.28963,0.42204,-0.44852,0.34155,-0.27009,-0.30943,0.50285,-0.47874,0.40012,0.0532,-0.354,0.48422,-0.48733,0.26217,0.78025,0.67038,0.45904,0.32898,0.30713,0.3225,sn
-0.58886,0.44709,-0.12727,-0.4203,-0.75582,-0.59962,0.45605,-0.10961,-0.43778,-0.76673,-0.58964,0.45177,-0.22207,-0.40267,-0.7187,-0.56987,0.43539,-0.30525,-0.2999,-0.6343,0.14574,-0.23705,0.34863,-0.37263,0.37029,0.07797,-0.27375,0.56652,-0.46822,0.41521,0.33164,-0.34334,0.45709,-0.45796,0.27479,0.80518,0.68823,0.4995,0.38283,0.3594,0.34918,sn
-0.56678,0.32276,-0.45808,-0.37967,-0.45888,-0.59062,0.37531,-0.42894,-0.34691,-0.56628,-0.59495,0.42594,-0.34857,-0.31419,-0.66883,-0.57427,0.42125,-0.34259,-0.2986,-0.61661,-0.55497,-0.35967,0.42984,-0.50623,0.262,-0.76513,-0.24769,0.55468,-0.47912,0.46054,-0.5063,-0.42343,0.50314,-0.53843,0.17613,0.54358,0.36169,0.11742,0.00877,-0.0091,-0.00155,sn
0.04027,0.13825,0.15263,-0.6398,0.35685,0.03548,0.13973,0.17579,-0.63266,0.39368,0.00127,0.18547,0.41577,-0.52141,0.35909,-0.09602,0.24285,0.73991,-0.46746,0.23129,0.76341,0.5662,-1.25727,0.54915,0.34195,1.08731,1.27648,-3.09282,1.7383,0.31386,0.71519,0.64472,-1.45592,0.66066,0.28238,-0.50439,-0.1921,-0.00977,0.09124,0.13614,0.15901,sn
-0.64256,1.11426,1.83047,-0.67886,-0.9964,-0.64112,1.08767,1.85176,-0.71199,-0.9435,-0.63185,1.05402,1.77354,-0.67319,-0.90324,-0.62294,1.0229,1.52157,-0.60335,-0.88275,0.92254,1.46511,-2.17535,1.66531,1.01158,0.8073,1.22785,-2.1046,1.57311,0.99505,0.93327,1.19695,-1.83721,1.34036,0.93204,0.84365,1.14622,1.31472,1.3926,1.42122,1.44122,cn
2.11379,-1.46294,-1.02337,0.63484,2.07978,2.04497,-1.42438,-1.01886,0.88293,2.06468,2.10244,-1.40884,-0.942,0.87457,2.08301,2.0663,-1.34328,-0.88354,0.48835,1.99373,2.02779,-1.02251,0.52419,-0.64055,-1.879,1.0504,-0.83199,0.37381,-0.64511,-0.87571,1.48691,-0.88231,0.46642,-0.61329,-1.50285,-2.24547,-1.76065,-1.4942,-1.42356,-1.40759,-1.39788,sn
-0.33208,-0.22681,-0.63041,-0.03669,-0.07535,-0.3509,-0.20054,-0.64197,-0.044,-0.10342,-0.3568,-0.20188,-0.68593,-0.08225,-0.09308,-0.33478,-0.23812,-0.74029,0.14142,0.01137,-1.91219,-0.56182,0.41424,-0.50464,-0.04838,-1.5562,-0.81833,0.51548,-0.67603,-0.39855,-2.37632,-0.53992,0.48324,-0.53493,-0.01339,0.29905,-0.14983,-0.42941,-0.46287,-0.46714,-0.4752,sn
0.1377,-0.87897,-0.9114,0.79589,0.35471,0.14161,-0.88347,-0.92956,0.74304,0.32707,0.1283,-0.91058,-0.94517,0.67183,0.36388,0.1539,-0.9405,-0.93021,0.71433,0.43456,-1.72509,-0.90328,0.65499,-0.64098,-0.93481,-1.31862,-1.01722,0.67975,-0.75583,-1.08604,-1.9561,-0.94706,0.70969,-0.67567,-1.05425,-0.01855,-0.60919,-0.80391,-0.85103,-0.87141,-0.88271,cn
0.7662,-1.22272,-1.0207,0.5923,1.04451,0.73784,-1.20921,-1.04066,0.89979,0.9907,0.69364,-1.19204,-1.00801,1.39693,0.90228,0.75615,-1.18657,-0.93716,1.53762,0.91997,-2.4195,-0.84428,0.32228,-0.53176,-1.12757,-1.96266,-0.96984,0.36218,-0.65306,-1.33335,-2.68673,-0.71233,0.08835,-0.34944,-1.03485,-0.85536,-1.20969,-1.22331,-1.17627,-1.14647,-1.13221,sn
1.07613,-1.46117,-0.96448,1.65809,0.98117,1.1212,-1.49021,-0.99919,1.06003,0.99101,1.14587,-1.50904,-1.01482,0.6161,1.07286,1.1601,-1.51264,-0.99533,0.852,1.17837,-2.23071,-1.02347,0.57528,-0.64594,-1.60016,-1.79151,-1.11285,0.62101,-0.76099,-1.80465,-2.55732,-1.00695,0.63162,-0.66777,-1.55696,-0.79377,-1.15208,-1.13759,-1.07192,-1.02475,-0.97955,cn
1.65825,-1.64385,-1.00133,1.8599,1.06065,1.79773,-1.66169,-1.0226,1.39182,1.09606,1.70883,-1.59282,-0.98396,0.36402,1.08453,1.35748,-1.48945,-0.89477,-1.00639,0.99867,-2.63939,-1.03319,0.62529,-0.65281,-1.78366,-2.32291,-1.11108,0.66338,-0.76394,-1.93203,-2.94169,-1.02804,0.69059,-0.67917,-1.71783,-0.88147,-1.2858,-1.22198,-1.17047,-1.13533,-1.05157,sn
-0.01336,-0.65708,-0.73678,0.26641,0.2066,-0.01768,-0.65087,-0.73839,0.13775,0.13539,-0.02551,-0.66907,-0.7608,-0.3259,0.11975,0.00823,-0.7202,-0.78866,-0.65458,0.17909,-2.32134,-0.80064,0.55375,-0.60414,-0.65814,-1.8667,-0.917,0.59461,-0.71553,-0.813,-2.5837,-0.82517,0.59881,-0.629,-0.73396,0.01447,-0.45726,-0.66202,-0.71625,-0.72904,-0.73346,sn
0.16701,-0.84827,-0.84207,0.69236,0.35546,0.174,-0.85313,-0.86123,0.44124,0.32645,0.17756,-0.88675,-0.88547,-0.16132,0.36022,0.24857,-0.99247,-0.91113,-0.37676,0.49711,-1.76228,-0.91065,0.60543,-0.63645,-0.91483,-1.27061,-1.01706,0.61819,-0.74675,-1.11104,-1.99899,-0.9205,0.64314,-0.65925,-0.98877,-0.10231,-0.63598,-0.81496,-0.86123,-0.86966,-0.88751,sn
0.25898,-0.97497,-0.95695,0.58593,0.80436,0.28924,-0.98973,-0.97879,0.78115,0.80481,0.30869,-1.02668,-0.98172,1.21453,0.82885,0.332,-1.07082,-0.96741,1.97725,0.9274,-1.31871,-0.77567,0.65073,-0.63312,-0.75194,-0.842,-0.9788,0.65688,-0.75646,-1.08625,-1.49991,-0.93798,0.67333,-0.67793,-0.99483,-0.59186,-0.98068,-1.05985,-1.06379,-1.06433,-1.08836,cn
1.01757,-1.38394,-1.02724,2.00522,1.00413,1.02689,-1.37856,-1.04492,1.67872,0.98228,1.01072,-1.40374,-1.03059,0.89649,0.96468,1.17709,-1.50415,-1.01873,1.59412,1.13737,-1.57959,-1.03637,0.60923,-0.65829,-1.51583,-1.10588,-1.10947,0.64211,-0.76692,-1.63118,-1.72752,-1.02646,0.68719,-0.68541,-1.46939,-0.77426,-1.18343,-1.22686,-1.20978,-1.21986,-1.24287,sn
-0.25953,-0.3278,-0.6462,-0.10118,0.08825,-0.28076,-0.29665,-0.64647,-0.0535,0.00161,-0.28226,-0.31788,-0.64251,-0.28643,-0.10867,-0.1997,-0.48279,-0.74058,-0.61848,-0.05598,-1.54301,-0.58883,0.60274,-0.56599,-0.0875,-1.35811,-0.67594,0.42168,-0.63974,-0.22066,-1.92468,-0.63111,0.53666,-0.59321,-0.24705,0.1985,-0.35873,-0.55496,-0.66258,-0.71641,-0.74157,sn
0.64533,-1.31182,-1.0507,1.76657,0.83581,0.60788,-1.28047,-1.05833,1.80593,0.7478,0.56458,-1.26886,-1.02288,1.32118,0.67009,0.60015,-1.31805,-0.99625,1.31643,0.76702,-2.00185,-1.00568,0.62522,-0.65703,-1.34875,-1.70599,-1.08631,0.66079,-0.76563,-1.47374,-2.17667,-1.01472,0.70251,-0.68621,-1.39974,-0.43303,-1.09102,-1.20021,-1.20135,-1.20027,-1.1998,sn
