"heart_rate","sleep_state","binaryClass"
152,4,N
156,4,N
147,4,N
145,4,N
129,4,N
131,4,N
137,4,N
138,4,N
139,4,N
141,4,N
142,4,N
128,4,N
142,4,N
155,4,N
150,4,N
146,4,N
150,4,N
146,4,N
151,4,N
145,4,N
146,4,N
146,4,N
139,4,N
135,4,N
141,4,N
145,4,N
149,4,N
140,4,N
146,4,N
147,4,N
144,4,N
140,4,N
135,4,N
118,4,N
120,4,N
135,4,N
146,4,N
139,4,N
138,4,N
129,4,N
130,4,N
128,4,N
125,4,N
127,4,N
131,4,N
132,4,N
145,4,N
153,4,N
154,4,N
145,4,N
146,4,N
140,4,N
134,4,N
128,4,N
127,4,N
140,4,N
143,4,N
138,4,N
124,4,N
123,4,N
131,4,N
151,4,N
136,4,N
126,2,N
127,2,N
129,2,N
124,2,N
128,2,N
130,2,N
121,2,N
141,2,N
128,2,N
130,2,N
124,2,N
128,1,N
122,1,N
130,1,N
130,1,N
135,1,N
125,1,N
123,1,N
127,1,N
125,1,N
125,1,N
129,1,N
128,1,N
130,1,N
128,1,N
130,1,N
129,1,N
129,1,N
129,1,N
130,1,N
131,1,N
131,1,N
130,1,N
131,1,N
131,1,N
132,1,N
129,1,N
131,1,N
131,1,N
128,1,N
127,1,N
128,1,N
129,1,N
131,1,N
131,1,N
131,1,N
131,1,N
129,1,N
125,1,N
124,1,N
130,1,N
125,1,N
126,1,N
127,1,N
124,1,N
122,1,N
128,1,N
128,1,N
126,1,N
130,1,N
114,1,N
123,1,N
116,3,N
127,3,N
123,3,N
131,3,N
125,3,N
123,3,N
125,3,N
123,3,N
114,3,N
120,3,P
130,3,N
126,3,N
112,3,N
114,3,N
125,3,N
128,3,N
115,3,P
121,3,N
124,3,N
128,3,N
118,3,P
119,3,P
121,3,P
130,3,P
115,3,P
124,3,P
129,3,P
125,3,P
120,3,P
118,3,P
121,3,P
120,3,P
119,3,P
127,3,P
120,3,P
124,3,P
121,3,P
120,3,P
122,3,P
118,3,P
112,3,P
115,3,P
120,3,P
123,3,P
125,3,P
113,2,P
124,2,P
133,2,P
117,2,P
121,2,P
121,2,P
117,2,P
124,2,P
133,2,P
129,2,P
120,2,P
129,2,P
114,2,P
119,2,P
123,2,P
131,2,P
114,2,P
124,1,P
123,1,P
128,1,P
117,1,P
118,1,P
118,1,P
120,1,P
119,1,P
120,1,P
124,1,P
126,1,P
124,1,P
122,1,P
122,1,P
118,1,P
123,1,P
122,1,P
124,1,P
124,1,P
125,1,P
124,1,P
122,1,P
122,1,P
124,1,P
124,1,P
121,1,P
123,1,P
123,1,P
124,1,P
121,1,P
124,1,P
124,1,P
123,1,P
120,1,P
123,1,P
121,1,P
