f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,clase
1.44197,-0.908122,0.630274,-0.163306,-0.466415,-0.812347,-0.581487,0.512882,-0.770527,-1.0953,1.39484,0.35233,-1.08607,1.3108,1.16216,-0.429796,-0.209937,-0.24916,0.920125,4.00041,1.62115,0.0687593,2.37812,1.94538,-0.0808456,-0.30792,-0.183195,-0.538748,1.99581,-0.445612,-0.334594,-0.316278,-0.310023,-0.234102,-0.365099,0
0.280068,-0.908122,0.630274,-0.163306,-0.466415,0.189221,-1.50644,2.08743,0.849691,0.127453,1.39484,0.35233,-1.08607,1.3108,1.16216,-0.429796,-0.209937,-0.24916,0.920125,-0.24916,1.62115,0.0687593,2.37812,1.94538,-0.0808456,-0.30792,-0.183195,-0.538748,1.99581,-0.445612,-0.334594,-0.316278,-0.310023,-0.234102,-0.365099,0
-0.300884,-0.908122,0.630274,-0.163306,-0.466415,-0.812347,-1.50644,2.08743,0.849691,1.35021,1.39484,0.35233,-1.08607,1.3108,1.16216,-0.429796,-0.209937,-0.24916,0.920125,-0.24916,1.62115,-0.849028,2.37812,1.94538,-0.0808456,-0.30792,-0.183195,-0.538748,1.99581,-0.445612,-0.334594,-0.316278,-0.310023,-0.234102,-0.365099,0
-0.300884,-0.908122,0.630274,-0.163306,-0.466415,-0.812347,-1.50644,2.08743,-0.770527,0.127453,1.39484,0.35233,-1.08607,1.3108,1.16216,-0.429796,-0.209937,-0.24916,0.920125,-0.24916,1.62115,-0.849028,2.37812,1.94538,-0.0808456,-0.30792,-0.183195,-0.538748,1.99581,-0.445612,-0.334594,-0.316278,-0.310023,-0.234102,-0.365099,0
1.44197,-0.908122,0.630274,-0.163306,-0.466415,0.189221,-1.50644,0.512882,-0.770527,1.35021,1.39484,0.35233,-1.08607,1.3108,1.16216,-0.429796,-0.209937,-0.24916,0.920125,-0.24916,1.62115,0.0687593,2.37812,1.94538,-0.0808456,-0.30792,-0.183195,-0.538748,1.99581,-0.445612,-0.334594,-0.316278,-0.310023,-0.234102,-0.365099,0
0.861021,-0.908122,0.630274,-0.163306,-0.466415,1.19079,-1.50644,0.512882,-0.770527,0.127453,1.39484,0.35233,-1.08607,1.3108,1.16216,-0.429796,-0.209937,-0.24916,0.920125,-0.24916,1.62115,-0.849028,2.37812,1.94538,-0.0808456,-0.30792,-0.183195,-0.538748,1.99581,-0.445612,-0.334594,-0.316278,-0.310023,-0.234102,-0.365099,0
0.861021,-0.908122,0.630274,-0.163306,-0.466415,0.189221,-1.50644,0.512882,0.849691,-1.0953,1.39484,0.35233,-1.08607,1.3108,1.16216,-0.429796,-0.209937,-0.24916,0.920125,4.00041,1.62115,0.0687593,2.37812,1.94538,-0.0808456,-0.30792,-0.183195,-0.538748,1.99581,-0.445612,-0.334594,-0.316278,-0.310023,-0.234102,-0.365099,0
0.280068,-0.908122,0.630274,-0.163306,2.13703,-0.812347,-1.50644,0.512882,-0.770527,1.35021,1.39484,0.35233,-1.08607,1.3108,1.16216,-0.429796,-0.209937,-0.24916,0.920125,-0.24916,1.62115,0.0687593,2.37812,1.94538,-0.0808456,-0.30792,-0.183195,-0.538748,1.99581,-0.445612,-0.334594,-0.316278,-0.310023,-0.234102,-0.365099,0
1.44197,-0.908122,0.630274,-0.163306,-0.466415,1.19079,-1.50644,0.512882,0.849691,0.127453,1.39484,0.35233,-1.08607,1.3108,1.16216,-0.429796,-0.209937,-0.24916,0.920125,-0.24916,1.62115,0.0687593,2.37812,1.94538,-0.0808456,-0.30792,-0.183195,-0.538748,1.99581,-0.445612,-0.334594,-0.316278,-0.310023,-0.234102,-0.365099,0
0.280068,-0.908122,0.630274,-0.163306,-0.466415,0.189221,-1.50644,2.08743,-0.770527,1.35021,1.39484,0.35233,-1.08607,1.3108,1.16216,-0.429796,-0.209937,-0.24916,0.920125,-0.24916,1.62115,0.0687593,2.37812,1.94538,-0.0808456,-0.30792,-0.183195,-0.538748,1.99581,-0.445612,-0.334594,-0.316278,-0.310023,-0.234102,-0.365099,0
1.44197,-0.908122,-2.0023,1.40341,-0.466415,-0.812347,1.26842,0.512882,0.849691,-1.0953,1.39484,0.35233,-1.08607,1.3108,1.16216,-0.429796,-0.209937,-0.24916,0.920125,-0.24916,-0.722773,1.90433,-0.419131,-0.512364,-0.0808456,4.41866,5.44089,-0.538748,1.99581,-0.445612,-0.334594,-0.316278,-0.310023,-0.234102,-0.365099,1
0.280068,-0.908122,-2.0023,-0.163306,2.13703,-0.812347,1.26842,0.512882,0.849691,0.127453,1.39484,0.35233,-1.08607,1.3108,1.16216,-0.429796,-0.209937,-0.24916,0.920125,4.00041,-0.722773,1.90433,-0.419131,-0.512364,-0.0808456,4.41866,5.44089,-0.538748,1.99581,-0.445612,-0.334594,-0.316278,-0.310023,-0.234102,-0.365099,1
-0.300884,-0.908122,-2.0023,-0.163306,-0.466415,-0.812347,0.343469,0.512882,-0.770527,-1.0953,1.39484,0.35233,-1.08607,1.3108,1.16216,-0.429796,-0.209937,-0.24916,0.920125,-0.24916,-0.722773,1.90433,-0.419131,-0.512364,-0.0808456,4.41866,5.44089,-0.538748,1.99581,-0.445612,-0.334594,-0.316278,-0.310023,-0.234102,-0.365099,1
1.44197,-0.908122,-2.0023,-0.163306,2.13703,1.19079,1.26842,0.512882,0.849691,-1.0953,1.39484,0.35233,-1.08607,1.3108,1.16216,-0.429796,-0.209937,-0.24916,0.920125,-0.24916,-0.722773,1.90433,-0.419131,-0.512364,-0.0808456,4.41866,5.44089,-0.538748,1.99581,-0.445612,-0.334594,-0.316278,-0.310023,-0.234102,-0.365099,1
1.44197,-0.908122,-2.0023,1.40341,-0.466415,-0.812347,1.26842,0.512882,0.849691,0.127453,1.39484,0.35233,-1.08607,1.3108,1.16216,-0.429796,-0.209937,-0.24916,0.920125,-0.24916,-0.722773,1.90433,-0.419131,-0.512364,-0.0808456,4.41866,5.44089,-0.538748,1.99581,-0.445612,-0.334594,-0.316278,-0.310023,-0.234102,-0.365099,1
0.861021,-0.908122,-2.0023,1.40341,2.13703,1.19079,1.26842,0.512882,0.849691,1.35021,1.39484,0.35233,-1.08607,1.3108,1.16216,-0.429796,-0.209937,-0.24916,0.920125,-0.24916,-0.722773,1.90433,-0.419131,-0.512364,-0.0808456,4.41866,5.44089,-0.538748,1.99581,-0.445612,-0.334594,-0.316278,-0.310023,-0.234102,-0.365099,1
1.44197,-0.908122,-2.0023,1.40341,2.13703,-1.81392,0.343469,0.512882,-0.770527,-1.0953,1.39484,0.35233,-1.08607,1.3108,1.16216,-0.429796,-0.209937,-0.24916,0.920125,4.00041,-0.722773,1.90433,-0.419131,-0.512364,-0.0808456,4.41866,5.44089,-0.538748,1.99581,-0.445612,-0.334594,-0.316278,-0.310023,-0.234102,-0.365099,1
0.280068,-0.908122,-2.0023,-0.163306,-0.466415,0.189221,0.343469,0.512882,-0.770527,0.127453,1.39484,0.35233,-1.08607,1.3108,1.16216,-0.429796,-0.209937,-0.24916,0.920125,-0.24916,-0.722773,1.90433,-0.419131,-0.512364,-0.0808456,4.41866,5.44089,-0.538748,1.99581,-0.445612,-0.334594,-0.316278,-0.310023,-0.234102,-0.365099,1
-0.300884,-0.908122,-2.0023,1.40341,-0.466415,0.189221,0.343469,0.512882,-0.770527,1.35021,1.39484,0.35233,-1.08607,1.3108,1.16216,-0.429796,-0.209937,-0.24916,0.920125,-0.24916,-0.722773,1.90433,-0.419131,-0.512364,-0.0808456,4.41866,5.44089,-0.538748,1.99581,-0.445612,-0.334594,-0.316278,-0.310023,-0.234102,-0.365099,1
0.861021,-0.908122,-2.0023,1.40341,2.13703,0.189221,0.343469,0.512882,-0.770527,1.35021,1.39484,0.35233,-1.08607,1.3108,1.16216,-0.429796,-0.209937,-0.24916,0.920125,-0.24916,-0.722773,1.90433,-0.419131,-0.512364,-0.0808456,4.41866,5.44089,-0.538748,1.99581,-0.445612,-0.334594,-0.316278,-0.310023,-0.234102,-0.365099,1
-1.46279,1.09759,0.630274,-1.73002,-0.466415,0.189221,-0.581487,2.08743,-0.770527,1.35021,1.39484,-2.829,-1.08607,1.3108,1.16216,-0.429796,-0.209937,-0.24916,0.920125,-0.24916,0.0585344,0.0687593,-0.419131,1.94538,12.329,-0.30792,-0.183195,2.66246,1.99581,-0.445612,-0.334594,-0.316278,-0.310023,-0.234102,-0.365099,2
-1.46279,1.09759,0.630274,-1.73002,-0.466415,-0.812347,-0.581487,2.08743,-0.770527,0.127453,1.39484,-2.829,-1.08607,1.3108,1.16216,-0.429796,-0.209937,-0.24916,0.920125,-0.24916,0.0585344,0.0687593,-0.419131,1.94538,-0.0808456,-0.30792,-0.183195,2.66246,1.99581,-0.445612,-0.334594,-0.316278,-0.310023,-0.234102,-0.365099,2
-0.300884,-0.908122,0.630274,-1.73002,2.13703,1.19079,-0.581487,2.08743,-0.770527,0.127453,1.39484,-2.829,-1.08607,1.3108,1.16216,-0.429796,-0.209937,-0.24916,0.920125,4.00041,0.0585344,0.0687593,-0.419131,1.94538,12.329,-0.30792,-0.183195,2.66246,1.99581,-0.445612,-0.334594,-0.316278,-0.310023,-0.234102,-0.365099,2
-2.04374,1.09759,0.630274,-1.73002,-0.466415,-1.81392,-0.581487,0.512882,0.849691,1.35021,1.39484,-2.829,-1.08607,1.3108,1.16216,-0.429796,-0.209937,-0.24916,0.920125,-0.24916,0.0585344,0.0687593,-0.419131,1.94538,-0.0808456,-0.30792,-0.183195,2.66246,1.99581,-0.445612,-0.334594,-0.316278,-0.310023,-0.234102,-0.365099,2
-2.04374,1.09759,0.630274,-1.73002,-0.466415,-0.812347,-0.581487,2.08743,0.849691,1.35021,1.39484,-2.829,-1.08607,1.3108,1.16216,-0.429796,-0.209937,-0.24916,0.920125,-0.24916,0.0585344,0.0687593,-0.419131,1.94538,-0.0808456,-0.30792,-0.183195,2.66246,1.99581,-0.445612,-0.334594,-0.316278,-0.310023,-0.234102,-0.365099,2
-1.46279,1.09759,0.630274,-1.73002,-0.466415,1.19079,-0.581487,2.08743,-0.770527,1.35021,1.39484,-2.829,-1.08607,1.3108,1.16216,-0.429796,-0.209937,-0.24916,0.920125,-0.24916,0.0585344,0.0687593,-0.419131,1.94538,-0.0808456,-0.30792,-0.183195,2.66246,1.99581,-0.445612,-0.334594,-0.316278,-0.310023,-0.234102,-0.365099,2
-1.46279,1.09759,0.630274,-1.73002,-0.466415,-1.81392,-0.581487,0.512882,-0.770527,0.127453,1.39484,-2.829,-1.08607,1.3108,1.16216,-0.429796,-0.209937,-0.24916,0.920125,-0.24916,0.0585344,0.0687593,-0.419131,1.94538,-0.0808456,-0.30792,-0.183195,2.66246,1.99581,-0.445612,-0.334594,-0.316278,-0.310023,-0.234102,-0.365099,2
