"Whether_of_not_the_TA_is_a_native_English_speaker","Course_instructor","Course","Summer_or_regular_semester","Class_size","binaryClass"
1,23,3,1,19,P
2,15,3,1,17,P
1,23,3,2,49,P
1,5,2,2,33,P
2,7,11,2,55,P
2,23,3,1,20,P
2,9,5,2,19,P
2,10,3,2,27,P
1,22,3,1,58,P
2,15,3,1,20,P
2,10,22,2,9,P
2,13,1,2,30,P
2,18,21,2,29,P
2,6,17,2,39,P
2,6,17,2,42,N
2,6,17,2,43,N
2,7,11,2,10,N
2,22,3,2,46,N
2,13,3,1,10,N
2,7,25,2,42,N
2,25,7,2,27,N
2,25,7,2,23,N
2,2,9,2,31,N
2,1,15,1,22,N
2,15,13,2,37,N
2,7,11,2,13,N
2,8,3,2,24,N
2,14,15,2,38,N
2,21,2,2,42,N
2,22,3,2,28,N
2,11,1,2,51,N
2,18,5,2,19,N
2,13,1,2,31,N
1,13,3,1,13,N
2,5,2,2,37,N
2,16,8,2,36,N
2,4,16,2,21,N
2,5,2,2,48,N
2,14,15,2,38,N
1,23,3,1,19,P
2,15,3,1,17,P
1,23,3,2,49,P
1,5,2,2,33,P
2,7,11,2,55,P
2,23,3,1,20,P
2,9,5,2,19,P
2,10,3,2,27,P
1,22,3,2,58,P
2,15,3,1,20,P
2,10,22,2,9,P
2,13,1,2,30,P
2,18,21,2,29,P
2,6,17,2,39,P
2,6,17,2,42,N
2,6,17,2,43,N
2,7,11,2,10,N
2,22,3,2,46,N
2,13,3,1,10,N
2,7,25,2,42,N
2,25,7,2,27,N
2,25,7,2,23,N
2,2,9,2,31,N
2,1,15,1,22,N
2,15,13,2,37,N
2,7,11,2,13,N
2,8,3,2,24,N
2,14,15,2,38,N
2,21,2,2,42,N
2,22,3,2,28,N
2,11,1,2,51,N
2,18,5,2,19,N
2,13,1,2,31,N
1,13,3,1,13,N
2,5,2,2,37,N
2,16,8,2,36,N
2,4,16,2,21,N
2,5,2,2,48,N
2,14,15,2,38,N
1,23,3,1,25,P
1,13,3,1,17,P
2,16,19,2,11,P
2,9,2,2,39,P
2,13,3,1,11,P
2,18,21,2,19,P
1,22,3,2,45,P
2,7,11,1,20,P
2,23,3,1,20,P
1,23,3,1,20,P
1,23,3,2,38,P
2,14,22,2,17,P
1,17,17,2,19,P
2,9,5,2,24,P
2,18,25,2,25,P
1,17,17,2,31,P
2,1,15,2,31,P
2,1,8,2,18,N
1,11,16,2,22,N
1,22,13,2,27,N
2,9,2,2,14,N
2,13,1,2,20,N
1,6,17,2,35,N
2,23,3,1,20,N
1,23,3,1,20,N
2,6,17,2,37,N
1,22,3,2,15,N
2,20,2,2,25,N
2,23,3,2,10,N
2,20,2,2,14,N
1,23,3,2,38,N
2,13,1,2,29,N
2,10,3,2,19,N
2,7,11,2,30,N
1,14,15,2,32,N
2,8,3,2,27,N
2,12,7,2,34,N
2,8,7,2,23,N
2,15,1,2,66,N
2,23,3,2,12,N
2,2,9,2,29,N
2,15,1,2,19,N
2,20,2,2,3,N
2,13,14,2,17,P
2,9,6,2,7,P
1,10,3,2,21,P
2,14,15,2,36,P
1,13,1,2,54,P
1,8,3,2,29,P
2,20,2,2,45,P
2,22,1,2,11,N
2,18,12,2,16,N
2,20,15,2,18,N
1,17,18,2,44,N
2,14,23,2,17,N
2,24,26,2,21,N
2,9,24,2,20,N
2,12,8,2,24,N
2,9,6,2,5,N
2,22,1,2,42,N
2,7,11,2,30,N
2,10,3,2,19,N
2,23,3,2,11,N
2,17,18,2,29,N
2,16,20,2,15,N
2,3,2,2,37,N
2,19,4,2,10,N
2,23,3,2,24,N
2,3,2,2,26,N
2,10,3,2,12,N
1,18,7,2,48,N
2,22,1,2,51,N
2,2,10,2,27,N
