e,z,binaryClass
0.057,0,P
0.064,0,P
0.064,0,P
0.066,1,P
0.462,0,P
0.086,0,P
0.114,0,P
0.117,0,P
0.118,0,P
0.119,0,P
0.126,0,P
0.231,1,P
0.261,1,P
0.211,1,P
0.216,1,P
0.218,0,P
0.648,1,P
0.143,0,P
0.144,2,P
0.21,1,P
0.244,0,P
0.53,3,P
0.796,2,P
1.622,4,P
0.561,2,P
0.762,0,P
1.222,1,P
0.513,4,P
0.532,0,P
0.936,1,P
0.503,1,P
0.564,0,P
0.572,2,P
0.583,0,P
0.722,0,P
0.771,2,P
1.873,4,P
0.532,0,P
0.584,0,P
0.672,2,P
0.722,1,P
0.904,1,P
1.236,0,P
0.95,0,P
1.405,1,P
0.776,3,P
1.013,0,P
0.739,0,P
1.77,1,P
0.821,0,P
1.115,2,P
1.164,3,P
1.164,0,P
1.303,0,P
1.774,3,P
3.585,1,P
1.193,1,P
1.213,1,P
1.232,1,P
1.517,4,P
1.52,3,P
1.862,3,P
1.888,1,P
1.247,0,P
1.381,2,P
1.643,2,P
1.66,4,P
1.827,4,P
1.486,3,P
1.593,2,P
2.265,4,P
1.524,1,P
1.759,3,P
1.309,0,P
1.529,4,P
1.677,1,P
1.654,2,P
1.785,3,P
1.979,4,P
1.767,4,P
2.465,2,P
1.75,2,P
2.458,4,P
2.383,2,N
2.717,3,N
2.282,0,N
2.115,0,N
2.852,2,N
2.856,5,N
3.174,5,N
2.369,1,N
2.557,1,N
3.859,3,N
2.641,1,N
2.741,1,N
3.055,3,N
3.513,1,N
2.728,2,N
3.354,6,N
3.814,0,N
4.014,2,N
2.612,2,N
2.815,1,N
4.294,2,N
3.45,8,N
3.628,6,N
4.219,1,N
3.932,6,N
4.082,4,N
4.203,1,N
4.022,3,N
4.636,5,N
5.571,2,N
6.436,4,N
5.344,3,N
4.445,4,N
4.705,5,N
5.039,2,N
6.043,6,N
5.121,8,N
11.26,5,N
5.789,0,N
6.044,6,N
5.569,8,N
6.13,7,N
6.249,3,N
7.002,3,N
7.851,9,N
9.573,7,N
12.05,18,N
12.131,17,N
