dataset,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93,f94,f95,f96,f97,f98,f99,f100,f101,f102,f103,f104,f105,f106,f107,f108,f109,f110,f111,f112,f113,f114,f115,f116,f117,f118,f119,f120,f121,f122,f123,f124,f125,Features.Skew.StandardDeviation,Features.Skew.Mean,Labels.Skew.NonAggregated,Features.PearsonCorrelation.Mean,Features.PearsonCorrelation.StandardDeviation,FeaturesLabels.PearsonCorrelation.Mean,FeaturesLabels.PearsonCorrelation.StandardDeviation,Features.SpearmanCorrelation.Mean,Features.SpearmanCorrelation.StandardDeviation,FeaturesLabels.SpearmanCorrelation.Mean,FeaturesLabels.SpearmanCorrelation.StandardDeviation,Features.Kurtosis.Mean,Features.Kurtosis.StandardDeviation,Labels.Kurtosis.NonAggregated,Features.Mean.Mean,Features.Mean.StandardDeviation,Labels.Mean.NonAggregated,,instances,dimensionality,instances_with_missing_val,ratio_of_discrete_features,ratio_of_numeric_features,nonzero_vals_cnt,missing values,attributes total,attributes categorical,attributes numerical
abalone,0.651703646,0.946055877,0.991593068,0.209083963,0.838805043,0.248975907,0.644460669,0.505895108,0.298566176,0.911221413,0.958694634,0.802421709,0.997371861,0.979803213,0.702918833,0.620971662,0.732623509,0.858959552,0.681181952,0.625666545,0.714585422,0.829010879,0.805005387,0.703633915,0.893356676,0.65872976,0.599231535,0.902862008,0.247869369,0.938091546,0.391206271,0.823079861,0.661667268,0.34314592,0.863386891,0.997657343,0.778418996,0.949855885,0.873060666,0.203101965,0.786897325,0.192656171,0.567260577,0.435233357,0.286152175,0.908710582,0.919604111,0.785754044,0.987827475,0.996980128,0.462295459,0.582864466,0.338898745,0.397895266,0.960498833,0.385610481,0.245425204,0.515909288,0.206044924,0.195030534,0.57492398,0.862472133,0.762097052,0.560217068,0.860979842,0.926696114,0.808682208,0.850810515,0.751534405,0.550667859,0.876126584,0.593467664,0.363070138,0.371562963,0.492182489,0.262517698,0.153882225,0.765704123,0.383665646,0.582763041,0.791044586,0.516663105,0.659749673,0.51895916,0.46094868,0.543487289,0.639561796,0.619419714,0.521500132,0.389041134,0.491102285,0.34372984,0.649191815,0.294132245,0.276988143,0.874330586,0.89291294,0.918506063,0.899837828,0.798670941,0.960208182,0.892378004,0.797909111,0.77293578,0.974635297,0,0,0,0,0,0,0,0,0,0,0,0.113207547,0.41509434,0.377358491,0.188679245,0.528301887,0.41509434,0.528301887,0.679245283,1,1.051256103,0.48958376,-0.017800326,0.266902754,0.463939066,0.256970596,0.356199744,0.563217918,0.560279137,0.528277157,0.349448809,8.228690273,23.94865682,-1.536027627,0.112174962,0.317279269,1.009576251,,4177,0.002154656,0,0,1,37593,0,9,0,9
acute-inflammation,-0.438076851,0.733124507,0.912446592,0.075614762,0.292887861,-0.684230179,0.338055356,0.292521712,-0.332913158,-0.153916013,0.564193502,-0.62451216,0.876401675,0.753425026,-0.050153055,-0.45915133,-0.277948699,0.546390345,0.740277236,0.138417735,0.470306717,0.901154418,0.333781103,0.144210709,0.797898827,-0.67424593,-0.546721096,0.47392698,0.268210911,0.678091539,-0.258448723,0.318913289,0.712505442,0.019379378,-0.364104808,0.954626366,-0.189006252,0.600348408,0.251422452,-0.164083326,0.14865634,-0.74862078,0.237627038,0.097641948,-0.313040405,0.083465573,0.27568092,-0.719091235,0.80949881,0.897009402,-0.048210948,0.015101315,0.064538163,0.064840803,-0.486808572,-0.846999298,0.316075979,0.07967651,0.086010398,-0.08553822,0.171429154,0.486440597,0.954446294,0.587035565,-0.055421617,0.798267016,0.240123688,0.042250841,0.004468389,-0.163232614,0.189758699,0.597245396,0.134896025,-0.047533123,0.958128172,-0.783644093,-0.753976251,0.514353533,0.040415273,-0.247343873,0.37540379,-0.072303215,0.149812413,0.312359584,0.489482877,-0.1514631,0.839729519,0.265139828,0.068062116,-0.057443436,0.538195571,0.16193651,0.611206258,-0.520109963,-0.431026076,-0.388997909,0.084314935,-0.199789663,0.021434712,0.032892725,0.405212545,0.059540011,-0.77458969,-0.751576254,0.677074785,0,0.058823529,0.352941176,0.176470588,0.117647059,0.235294118,0.235294118,0.176470588,0.352941176,0.411764706,1,0.470588235,0.470588235,0.352941176,0.294117647,0.352941176,0.235294118,0.352941176,0.235294118,0.735294118,0.552159872,0.096795515,0.033337964,0.18537691,0.323073151,0.149592298,0.379046335,0.167834597,0.330971493,0.277377723,0.503099734,-1.62075159,0.479499501,-1.99888858,0.070237618,0.172047689,0.491666667,,120,0.058333333,0,0,1,840,0,7,0,7
acute-nephritis,-0.668321727,0.911724976,0.999976317,-0.835611815,0.911701224,-0.16928086,-0.16928086,-0.16928086,-0.666311427,0.72383659,0.911724976,-0.666524571,0.911724976,0.970633511,-0.602668202,-0.66834548,0.64262892,-0.602692025,-0.169782538,-0.169782538,-0.169782538,0.691259051,-0.754726635,-0.602668202,0.812208503,-0.602668202,-0.751963388,0.911701224,-0.961686848,0.999976177,-0.104699232,-0.104699232,-0.104699232,-0.368838028,0.827544918,1,-0.792097766,1,0.882271457,-0.835611815,0.911724976,-0.16928086,-0.16928086,-0.16928086,-0.665356227,0.723860272,0.911701224,-0.666548253,0.911701224,0.971588711,-0.961686848,-0.160817769,-0.160817769,-0.160817769,0.377578711,-0.776475882,-0.961686848,0.830922622,-0.961686848,-0.805803074,-0.104699232,-0.104699232,-0.104699232,-0.367879997,0.827568671,0.999976177,-0.792121519,0.999976177,0.883229488,1,1,-0.16928086,-0.16928086,-0.104699232,-0.16928086,-0.104699232,-0.16928086,1,-0.16928086,-0.16928086,-0.104699232,-0.16928086,-0.104699232,-0.16928086,-0.16928086,-0.16928086,-0.104699232,-0.16928086,-0.104699232,-0.16928086,-0.238594829,-0.368838028,0.295906848,-0.368838028,-0.636944938,0.827544918,-0.942687981,0.827544918,0.807231103,-0.792097766,1,0.882271457,-0.792097766,-0.749919084,0.882271457,0.138888889,0.083333333,0.222222222,0.305555556,0,0,0.111111111,0.027777778,1,0,0,0,0.027777778,0.027777778,0,0,0.055555556,0.055555556,0.305555556,0.763888889,0.522625209,0.126953789,0.338061702,0.188759192,0.315028633,0.236542785,0.338243267,0.219063941,0.339485904,0.451157979,0.362360478,-1.653871927,0.457010391,-1.885714286,0.052082745,0.13779977,0.416666667,,120,0.066666667,0,0,1,960,0,8,0,8
analcatdata_asbestos,-0.014054259,0.853794795,0.944905379,-0.750589652,0.603986936,-0.302527137,0.476076564,0.473882554,-0.697600889,0.3238772,0.88075294,0.353319658,0.982349754,0.872452481,0.336864157,-0.181914526,0.289396837,0.59447128,0.725011921,0.218032307,0.553767811,0.338468563,-0.338731605,0.31838741,0.775412754,-0.020885095,-0.294363721,0.693355504,-0.491934748,0.895440675,0.008984161,0.682985561,0.77548107,-0.437057018,-0.055985319,0.987975505,0.648961302,0.8514985,0.575411631,-0.837455454,0.409633546,-0.435218191,0.334432331,0.271739315,-0.77085858,0.462150668,0.718254954,0.200964166,0.946777718,0.965777348,-0.26905725,0.543671804,-0.229982335,-0.18794691,0.635224339,-0.465879944,-0.490520702,0.019718767,-0.743187072,-0.860892575,0.260489549,0.660590581,0.816424502,-0.101667935,-0.237284183,0.864988442,0.753236615,0.599182854,0.294182651,-0.090238578,0.326053448,0.327765947,-0.543560267,-0.00060839,0.629068572,-0.336206288,-0.507518688,0.686888274,-0.057259097,-0.05917947,0.634050442,0.310027793,0.514655614,0.267426155,0.005244206,-0.32202808,0.730668644,0.626540413,0.472483708,0.167035187,-0.281622309,-0.487558812,-0.152932827,-0.685928379,-0.744453687,-0.014528164,-0.451767592,0.294912608,0.587057464,0.643243846,0.87010696,0.601399098,0.349963502,0.053803885,0.867917068,0,0.16,0.32,0.16,0.16,0.56,0.32,0.4,0.32,0.64,0.32,0.08,0.64,0.8,0.4,0.56,0.96,0.48,0.72,1,,,,,,,,,,,,,,,,,,,83,0.048192771,0,0,1,332,0,4,0,4
analcatdata_boxing1,0.138858268,0.974413299,0.994025001,-0.885632052,0.922272429,-0.162542058,0.961512445,0.673564446,-0.71373874,0.961017756,0.97427617,0.601228358,0.995519688,0.981651132,0.12424846,0.141890816,-0.1463641,0.188961789,0.899642482,0.073742881,0.362741362,0.385124768,0.199759848,0.140013583,0.762610106,0.135833309,0.13284919,0.948610429,-0.833955714,0.973566999,-0.212286718,0.976625519,0.771441926,-0.641374557,0.897118422,0.994826182,0.52971252,0.972759219,0.920946695,-0.896400356,0.88698571,-0.138109149,0.939700884,0.622434446,-0.732557234,0.974039544,0.950068843,0.619948347,0.989952157,0.995259749,-0.796370404,0.096538409,-0.812656864,-0.585074313,0.696363461,-0.884744615,-0.842029678,-0.582414307,-0.882922368,-0.893049722,-0.162241164,0.944256931,0.847533579,-0.515456969,0.827172516,0.966340772,0.495665384,0.926515592,0.849371443,-0.259759043,0.051047298,0.542549354,-0.073526622,-0.188684422,0.59609809,-0.171894052,-0.127144018,0.714796687,-0.663046994,0.891504849,0.95737676,0.497305573,0.967968324,0.913270266,-0.169451167,0.559552358,0.774779413,0.441636521,0.66719167,0.575658118,-0.706297768,-0.644001375,-0.241041595,-0.702995365,-0.747504992,0.900714337,0.662044438,0.95417965,0.977557242,0.547739289,0.966989456,0.924952327,0.592575532,0.620755995,0.975118548,0,0.207792208,0.155844156,0.077922078,0.077922078,0,0,0.077922078,0.207792208,0.025974026,0.077922078,0.207792208,0,0.051948052,0.077922078,0.181818182,0.207792208,0.103896104,0.181818182,1,,,,,,,,,,,,,,,,,,,120,0.033333333,0,0,1,480,0,4,0,4
analcatdata_broadwaymult,-0.452664325,0.956637437,0.988880092,-0.948162196,0.829738049,-0.712800553,0.946737665,0.615934383,-0.881170684,0.821883917,0.929300001,0.492417453,0.995629817,0.968144847,-0.406755602,-0.464961649,0.413083891,-0.251794487,0.781117891,-0.330651585,0.014806281,0.570379151,-0.310114479,-0.426188605,0.309391708,-0.432432696,-0.472635713,0.907367738,-0.864116232,0.9447507,-0.750383795,0.949780983,0.78240274,-0.749799206,0.66932161,0.991624671,0.381461292,0.936438472,0.860472778,-0.959489014,0.749383864,-0.675570133,0.91605426,0.512475464,-0.9193126,0.866090195,0.8720923,0.519996317,0.993196403,0.993530344,-0.719153432,0.597613503,-0.898584714,-0.486014752,0.91229268,-0.823119582,-0.819840598,-0.55011729,-0.960795169,-0.95279803,-0.667686443,0.871730435,0.898936724,-0.539697737,0.474637936,0.954665739,0.300402371,0.801092976,0.67904633,-0.646948174,-0.456837958,0.650977431,-0.452124314,-0.778177663,0.092826313,-0.675405467,-0.646035608,0.689087638,-0.790175881,0.702095171,0.908153464,0.512201856,0.947619518,0.882450284,-0.285940614,0.260782673,0.808641526,0.334095515,0.573817783,0.430879061,-0.813337938,-0.706957665,-0.501170396,-0.895354426,-0.936126758,0.617375515,0.620332843,0.835092871,0.886470768,0.310684477,0.900798047,0.820484522,0.5258329,0.527199184,0.977165325,0.218181818,0.254545455,0.254545455,0.181818182,0.109090909,0.327272727,0.072727273,0.072727273,0,0,0.072727273,0,0.036363636,0.181818182,0.145454545,0.290909091,0.254545455,0.145454545,0.472727273,1,0.480973643,0.110924813,0.668487532,0.33419309,0.413128327,0.5,0.5,0.19169596,0.174675834,0.280383043,0.415548431,-1.111792097,0.33816181,-1.035694204,21.00088177,31.67918619,2,,285,0.028070175,18,0,1,2253,27,8,0,8
analcatdata_germangss,0.975673197,0.996113354,0.996938068,0.482555861,0.994461139,0.732874138,0.989592283,0.990219624,0.43085364,0.994369385,0.998180421,0.981952158,0.997955597,0.992546967,0.968641215,0.974772682,0.531110986,0.973387032,0.817758753,0.961151378,0.981044853,0.496274515,0.979686121,0.971027817,0.989292291,0.976072671,0.970999622,0.987194213,0.469825058,0.998744648,0.727803685,0.997882856,0.98429224,0.430480304,0.983800092,0.999154445,0.968960079,0.98981026,0.979568038,0.487445508,0.985125933,0.730001356,0.977073156,0.988933116,0.425966152,0.998032808,0.991530914,0.987496779,0.9992923,0.998598047,0.471925339,0.769756836,0.458225561,0.506134966,0.934760524,0.487240619,0.473920631,0.503332015,0.488284442,0.487041561,0.741882828,0.997135194,0.985043734,0.442924819,0.983529562,0.997689917,0.970642097,0.988023039,0.976996687,0.721994707,0.740238338,0.815828919,0.745088468,0.729605312,0.775975246,0.729843894,0.728129803,0.976438613,0.426764213,0.973817785,0.994810315,0.957637525,0.980812753,0.96761031,0.45598936,0.98812479,0.986585588,0.985515083,0.991320951,0.984038225,0.434696435,0.430176279,0.45305018,0.429010257,0.420765197,0.988002707,0.991318438,0.9974846,0.997373404,0.974009425,0.993242267,0.985187032,0.986873627,0.987482738,0.996575539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.281879195,0.040268456,0,0.161073826,0.026845638,1,1.604863612,1.604863612,3.209727224,,,0.357016738,0.399959871,,,0.519137622,0.480862378,4.886385146,6.886385146,11.77277029,1003.29875,988.20125,15.0975,,400,0.015,0,0,1,2400,0,6,0,6
analcatdata_lawsuit,-0.953454222,0.701479001,0.994671957,-0.943142855,0.399948439,-0.805241033,0.820414225,-0.09733225,-0.885183204,-0.596091078,0.469101964,-0.850599439,0.983457454,0.994604657,-0.602934992,-0.960126456,0.942446057,-0.325669366,0.815964622,-0.794047044,0.149090216,0.895267706,0.707864382,-0.346398947,0.939949411,-0.936768173,-0.960419762,0.673314685,-0.7564082,0.798453591,-0.440804715,0.792711946,0.342166947,-0.54875871,-0.454644841,0.823546179,-0.539119886,0.76586545,0.673197778,-0.938798134,0.367717337,-0.809927977,0.82186375,-0.15035906,-0.878163096,-0.583200308,0.44114693,-0.856981639,0.970991839,0.999958051,-0.444319438,0.750061678,-0.876192449,0.090045836,0.861824456,0.615992375,-0.508248245,0.84324626,-0.950793517,-0.938756872,-0.121315827,0.623588614,0.662263385,-0.239123663,-0.523134245,0.801266244,-0.424477287,0.475415842,0.366022868,-0.638511201,0.189906868,0.776736402,0.541811283,-0.142209776,0.725429046,-0.804440743,-0.810285363,0.127359718,-0.651866513,-0.628361852,0.601867491,-0.766093643,0.847810216,0.821294297,0.225628124,-0.283930515,0.55075517,-0.006472701,0.002605316,-0.150592187,0.554495672,-0.310700239,0.782497646,-0.875444656,-0.87826625,-0.198728426,0.888398363,-0.646591609,-0.583227128,-0.283129784,0.514863915,0.441029335,-0.849440929,-0.857039407,0.970942325,0.482758621,0.827586207,0.137931034,0.275862069,0.413793103,0.206896552,0.137931034,0.137931034,0.275862069,0.068965517,0.068965517,0.137931034,0,0.206896552,0.206896552,0.206896552,0.344827586,0.551724138,0.689655172,1,1.446683037,0.729998485,3.312444394,0.00718098,0.319171568,0.01790102,0.385071722,-0.055963655,0.365966332,0.050605332,0.528703909,1.654684737,3.783557593,8.972287863,13.76229545,13.30175262,0.071969697,,264,0.018939394,0,0,1,1320,0,5,0,5
annealing,-0.900579234,0.856473607,0.984065664,-0.9675006,-0.153072363,-0.934607718,0.87719489,-0.678003964,-0.975107493,-0.507756348,0.834736708,-0.710251938,0.941773628,0.96504494,-0.687241026,-0.919246074,0.888407518,0.355744746,0.960344959,-0.717231504,0.889322383,0.943934254,0.62520859,-0.660106754,0.925863805,-0.81038721,-0.913965496,0.786213788,-0.865589839,0.159135408,-0.765810333,0.978361704,-0.382579197,-0.777904166,-0.608016517,0.996352561,-0.48435492,0.933527607,0.744625916,-0.947904784,-0.25345844,-0.940467842,0.810983633,-0.744043474,-0.986976958,-0.452359769,0.760976508,-0.741879988,0.900481691,0.994074323,0.102946644,0.922414305,-0.883801461,0.678005587,0.954499934,0.547696532,-0.842743448,0.708365631,-0.946666342,-0.930027795,0.291908789,0.129559184,0.512091868,0.273370788,-0.085337323,0.19202522,0.369884896,-0.024346682,-0.280705734,-0.795224746,0.793599871,0.946639289,0.588804113,-0.738948755,0.827783599,-0.884735194,-0.928575414,-0.405715451,-0.805446489,-0.577648761,0.978529184,-0.515388717,0.936668267,0.771474549,0.764235942,0.501761122,-0.347939845,0.923875063,-0.543789987,-0.769619377,0.484548965,-0.752926574,0.778043157,-0.891593696,-0.97792381,-0.598596681,0.697146388,-0.605215363,-0.412007394,-0.458044992,0.912480623,0.718039715,-0.607739699,-0.749048434,0.867537964,0.509803922,0.274509804,0.431372549,0.235294118,0.196078431,0.196078431,0.078431373,0.078431373,0.039215686,0.078431373,0,0.156862745,0.078431373,0.078431373,0.039215686,0.156862745,0.117647059,0.352941176,0.31372549,1,8.821321077,-1.588517076,0.825961821,0.18783632,0.319513036,0.13112522,0.273239742,0.014963001,0.458067416,0.044877124,0.215126371,81.45237929,171.9297033,3.38015633,7.027102093,26.92752489,2.035634744,,898,0.035634744,0,0,1,28736,0,32,0,32
ar4,-0.78170123,0.846576757,0.870584666,-0.929067137,0.531879534,-0.536533905,0.71816613,-0.262701348,-0.905040642,-0.55031117,0.838824016,-0.577963428,0.94354502,0.731595626,-0.534595709,-0.938188087,0.785474571,-0.223131767,0.684645381,-0.458763089,0.603850227,0.929622704,0.353933313,-0.527677288,0.915154716,-0.675223852,-0.900626545,0.654711406,-0.848146148,0.796338662,-0.447851775,0.821764526,-0.044396057,-0.703232125,-0.699677604,0.990729005,-0.309586167,0.950224333,0.492292993,-0.775153043,0.335394691,-0.686993529,0.489223557,-0.541037762,-0.895593118,-0.331351998,0.64501276,-0.827652598,0.77902985,0.946196652,-0.552723938,0.52784192,-0.792338531,0.261130304,0.924364745,0.645175074,-0.836090406,0.5765713,-0.916671068,-0.630286677,-0.313896069,0.684014666,0.093132348,-0.381603048,-0.783133687,0.793366765,-0.134541614,0.670211489,0.207902633,-0.335768954,0.658253014,0.584382594,0.287021439,-0.443915734,0.670331178,-0.517433769,-0.681670936,0.170008618,-0.648434531,-0.808777846,0.823784624,-0.248460199,0.798329477,0.302873645,0.422522363,-0.169896795,-0.018422935,0.710416833,-0.145481783,-0.664928568,0.529775379,-0.698454994,0.758208124,-0.821261304,-0.774925643,-0.724307378,0.242787527,-0.653753271,-0.147658257,-0.299191731,0.950531605,0.480827906,-0.452471373,-0.892733514,0.62637732,0.275862069,0.413793103,0.413793103,0.551724138,0.482758621,0.206896552,0.275862069,0.206896552,0.206896552,0.068965517,0,0,0.206896552,0.137931034,0.206896552,0.275862069,0.620689655,0.551724138,0.275862069,1,1.796762538,3.310167431,,0.276339805,0.393880265,,,0.405967725,0.469121451,,,17.47393828,13.20836133,,594.8054013,2763.294088,,,107,0.280373832,0,0,1,3210,0,30,0,30
