,dataset,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93,f94,f95,f96,f97,f98,f99,f100,f101,f102,f103,f104,f105,f106,f107,f108,f109,f110,f111,f112,f113,f114,f115,f116,f117,f118,f119,f120,f121,f122,f123,f124,f125,Features.Skew.StandardDeviation,Features.Skew.Mean,Labels.Skew.NonAggregated,Features.PearsonCorrelation.Mean,Features.PearsonCorrelation.StandardDeviation,FeaturesLabels.PearsonCorrelation.Mean,FeaturesLabels.PearsonCorrelation.StandardDeviation,Features.SpearmanCorrelation.Mean,Features.SpearmanCorrelation.StandardDeviation,FeaturesLabels.SpearmanCorrelation.Mean,FeaturesLabels.SpearmanCorrelation.StandardDeviation,Features.Kurtosis.Mean,Features.Kurtosis.StandardDeviation,Labels.Kurtosis.NonAggregated,Features.Mean.Mean,Features.Mean.StandardDeviation,Labels.Mean.NonAggregated,Unnamed: 143,instances,dimensionality,instances_with_missing_val,ratio_of_discrete_features,ratio_of_numeric_features,nonzero_vals_cnt,missing values,attributes total,attributes categorical,attributes numerical,algo_catboost,algo_mgbdt,algo_node_epsilon,algo_thundergbm,winning
0,abalone,0.651703646,0.946055877,0.991593068,0.209083963,0.8388050429999999,0.248975907,0.644460669,0.5058951079999999,0.298566176,0.9112214129999999,0.9586946340000001,0.8024217090000001,0.997371861,0.979803213,0.702918833,0.620971662,0.7326235090000001,0.8589595520000001,0.681181952,0.625666545,0.7145854220000001,0.829010879,0.805005387,0.703633915,0.8933566759999999,0.65872976,0.599231535,0.9028620079999999,0.24786936899999998,0.9380915459999999,0.391206271,0.823079861,0.661667268,0.34314592,0.863386891,0.997657343,0.778418996,0.949855885,0.873060666,0.203101965,0.786897325,0.19265617100000001,0.567260577,0.43523335700000004,0.286152175,0.908710582,0.919604111,0.785754044,0.987827475,0.996980128,0.46229545899999996,0.582864466,0.338898745,0.397895266,0.9604988329999999,0.385610481,0.24542520399999998,0.515909288,0.206044924,0.19503053399999998,0.57492398,0.8624721329999999,0.762097052,0.5602170679999999,0.860979842,0.9266961140000001,0.808682208,0.850810515,0.751534405,0.550667859,0.8761265840000001,0.593467664,0.363070138,0.37156296299999997,0.492182489,0.262517698,0.153882225,0.765704123,0.383665646,0.582763041,0.7910445859999999,0.516663105,0.659749673,0.51895916,0.46094868,0.543487289,0.639561796,0.619419714,0.521500132,0.389041134,0.491102285,0.34372984,0.649191815,0.294132245,0.276988143,0.8743305859999999,0.89291294,0.9185060629999999,0.899837828,0.7986709409999999,0.960208182,0.8923780040000001,0.797909111,0.77293578,0.9746352970000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11320754699999999,0.41509434,0.377358491,0.188679245,0.528301887,0.41509434,0.528301887,0.679245283,1.0,1.051256103,0.48958376,-0.017800326,0.26690275399999996,0.463939066,0.256970596,0.356199744,0.563217918,0.560279137,0.528277157,0.34944880899999997,8.228690273,23.94865682,-1.536027627,0.11217496199999999,0.317279269,1.009576251,,4177,0.002154656,0,0,1,37593,0,9,0,9,0,1,0,0,0.0
1,abalone,0.651703646,0.946055877,0.991593068,0.209083963,0.8388050429999999,0.248975907,0.644460669,0.5058951079999999,0.298566176,0.9112214129999999,0.9586946340000001,0.8024217090000001,0.997371861,0.979803213,0.702918833,0.620971662,0.7326235090000001,0.8589595520000001,0.681181952,0.625666545,0.7145854220000001,0.829010879,0.805005387,0.703633915,0.8933566759999999,0.65872976,0.599231535,0.9028620079999999,0.24786936899999998,0.9380915459999999,0.391206271,0.823079861,0.661667268,0.34314592,0.863386891,0.997657343,0.778418996,0.949855885,0.873060666,0.203101965,0.786897325,0.19265617100000001,0.567260577,0.43523335700000004,0.286152175,0.908710582,0.919604111,0.785754044,0.987827475,0.996980128,0.46229545899999996,0.582864466,0.338898745,0.397895266,0.9604988329999999,0.385610481,0.24542520399999998,0.515909288,0.206044924,0.19503053399999998,0.57492398,0.8624721329999999,0.762097052,0.5602170679999999,0.860979842,0.9266961140000001,0.808682208,0.850810515,0.751534405,0.550667859,0.8761265840000001,0.593467664,0.363070138,0.37156296299999997,0.492182489,0.262517698,0.153882225,0.765704123,0.383665646,0.582763041,0.7910445859999999,0.516663105,0.659749673,0.51895916,0.46094868,0.543487289,0.639561796,0.619419714,0.521500132,0.389041134,0.491102285,0.34372984,0.649191815,0.294132245,0.276988143,0.8743305859999999,0.89291294,0.9185060629999999,0.899837828,0.7986709409999999,0.960208182,0.8923780040000001,0.797909111,0.77293578,0.9746352970000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11320754699999999,0.41509434,0.377358491,0.188679245,0.528301887,0.41509434,0.528301887,0.679245283,1.0,1.051256103,0.48958376,-0.017800326,0.26690275399999996,0.463939066,0.256970596,0.356199744,0.563217918,0.560279137,0.528277157,0.34944880899999997,8.228690273,23.94865682,-1.536027627,0.11217496199999999,0.317279269,1.009576251,,4177,0.002154656,0,0,1,37593,0,9,0,9,0,0,0,1,0.0
2,abalone,0.651703646,0.946055877,0.991593068,0.209083963,0.8388050429999999,0.248975907,0.644460669,0.5058951079999999,0.298566176,0.9112214129999999,0.9586946340000001,0.8024217090000001,0.997371861,0.979803213,0.702918833,0.620971662,0.7326235090000001,0.8589595520000001,0.681181952,0.625666545,0.7145854220000001,0.829010879,0.805005387,0.703633915,0.8933566759999999,0.65872976,0.599231535,0.9028620079999999,0.24786936899999998,0.9380915459999999,0.391206271,0.823079861,0.661667268,0.34314592,0.863386891,0.997657343,0.778418996,0.949855885,0.873060666,0.203101965,0.786897325,0.19265617100000001,0.567260577,0.43523335700000004,0.286152175,0.908710582,0.919604111,0.785754044,0.987827475,0.996980128,0.46229545899999996,0.582864466,0.338898745,0.397895266,0.9604988329999999,0.385610481,0.24542520399999998,0.515909288,0.206044924,0.19503053399999998,0.57492398,0.8624721329999999,0.762097052,0.5602170679999999,0.860979842,0.9266961140000001,0.808682208,0.850810515,0.751534405,0.550667859,0.8761265840000001,0.593467664,0.363070138,0.37156296299999997,0.492182489,0.262517698,0.153882225,0.765704123,0.383665646,0.582763041,0.7910445859999999,0.516663105,0.659749673,0.51895916,0.46094868,0.543487289,0.639561796,0.619419714,0.521500132,0.389041134,0.491102285,0.34372984,0.649191815,0.294132245,0.276988143,0.8743305859999999,0.89291294,0.9185060629999999,0.899837828,0.7986709409999999,0.960208182,0.8923780040000001,0.797909111,0.77293578,0.9746352970000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11320754699999999,0.41509434,0.377358491,0.188679245,0.528301887,0.41509434,0.528301887,0.679245283,1.0,1.051256103,0.48958376,-0.017800326,0.26690275399999996,0.463939066,0.256970596,0.356199744,0.563217918,0.560279137,0.528277157,0.34944880899999997,8.228690273,23.94865682,-1.536027627,0.11217496199999999,0.317279269,1.009576251,,4177,0.002154656,0,0,1,37593,0,9,0,9,0,0,1,0,0.0
3,abalone,0.651703646,0.946055877,0.991593068,0.209083963,0.8388050429999999,0.248975907,0.644460669,0.5058951079999999,0.298566176,0.9112214129999999,0.9586946340000001,0.8024217090000001,0.997371861,0.979803213,0.702918833,0.620971662,0.7326235090000001,0.8589595520000001,0.681181952,0.625666545,0.7145854220000001,0.829010879,0.805005387,0.703633915,0.8933566759999999,0.65872976,0.599231535,0.9028620079999999,0.24786936899999998,0.9380915459999999,0.391206271,0.823079861,0.661667268,0.34314592,0.863386891,0.997657343,0.778418996,0.949855885,0.873060666,0.203101965,0.786897325,0.19265617100000001,0.567260577,0.43523335700000004,0.286152175,0.908710582,0.919604111,0.785754044,0.987827475,0.996980128,0.46229545899999996,0.582864466,0.338898745,0.397895266,0.9604988329999999,0.385610481,0.24542520399999998,0.515909288,0.206044924,0.19503053399999998,0.57492398,0.8624721329999999,0.762097052,0.5602170679999999,0.860979842,0.9266961140000001,0.808682208,0.850810515,0.751534405,0.550667859,0.8761265840000001,0.593467664,0.363070138,0.37156296299999997,0.492182489,0.262517698,0.153882225,0.765704123,0.383665646,0.582763041,0.7910445859999999,0.516663105,0.659749673,0.51895916,0.46094868,0.543487289,0.639561796,0.619419714,0.521500132,0.389041134,0.491102285,0.34372984,0.649191815,0.294132245,0.276988143,0.8743305859999999,0.89291294,0.9185060629999999,0.899837828,0.7986709409999999,0.960208182,0.8923780040000001,0.797909111,0.77293578,0.9746352970000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11320754699999999,0.41509434,0.377358491,0.188679245,0.528301887,0.41509434,0.528301887,0.679245283,1.0,1.051256103,0.48958376,-0.017800326,0.26690275399999996,0.463939066,0.256970596,0.356199744,0.563217918,0.560279137,0.528277157,0.34944880899999997,8.228690273,23.94865682,-1.536027627,0.11217496199999999,0.317279269,1.009576251,,4177,0.002154656,0,0,1,37593,0,9,0,9,1,0,0,0,1.0
4,acute-inflammation,-0.438076851,0.733124507,0.912446592,0.075614762,0.292887861,-0.684230179,0.33805535600000003,0.292521712,-0.332913158,-0.15391601300000002,0.5641935020000001,-0.62451216,0.876401675,0.7534250259999999,-0.050153055,-0.45915133,-0.27794869899999997,0.546390345,0.740277236,0.138417735,0.47030671700000004,0.901154418,0.333781103,0.144210709,0.797898827,-0.67424593,-0.546721096,0.47392698,0.268210911,0.6780915390000001,-0.258448723,0.318913289,0.712505442,0.019379378,-0.36410480799999995,0.954626366,-0.18900625199999999,0.600348408,0.251422452,-0.164083326,0.14865634,-0.74862078,0.237627038,0.097641948,-0.313040405,0.083465573,0.27568092,-0.719091235,0.80949881,0.897009402,-0.048210947999999997,0.015101315,0.064538163,0.064840803,-0.48680857200000005,-0.846999298,0.316075979,0.07967651,0.086010398,-0.08553822,0.17142915399999997,0.48644059700000003,0.954446294,0.587035565,-0.055421617,0.7982670159999999,0.240123688,0.042250841,0.0044683890000000006,-0.163232614,0.18975869899999998,0.597245396,0.134896025,-0.047533123,0.958128172,-0.7836440929999999,-0.753976251,0.514353533,0.040415273,-0.24734387300000002,0.37540379,-0.072303215,0.149812413,0.31235958399999997,0.48948287700000004,-0.15146310000000002,0.839729519,0.265139828,0.06806211599999999,-0.057443435999999994,0.538195571,0.16193651,0.611206258,-0.520109963,-0.43102607600000004,-0.388997909,0.084314935,-0.199789663,0.021434712,0.032892725,0.405212545,0.059540011,-0.77458969,-0.751576254,0.677074785,0.0,0.058823529000000006,0.352941176,0.176470588,0.117647059,0.235294118,0.235294118,0.176470588,0.352941176,0.41176470600000004,1.0,0.470588235,0.470588235,0.352941176,0.294117647,0.352941176,0.235294118,0.352941176,0.235294118,0.735294118,0.552159872,0.096795515,0.033337964,0.18537691,0.323073151,0.149592298,0.379046335,0.167834597,0.330971493,0.277377723,0.503099734,-1.62075159,0.479499501,-1.99888858,0.070237618,0.17204768899999998,0.49166666700000006,,120,0.058333333,0,0,1,840,0,7,0,7,0,1,0,0,0.0
5,acute-inflammation,-0.438076851,0.733124507,0.912446592,0.075614762,0.292887861,-0.684230179,0.33805535600000003,0.292521712,-0.332913158,-0.15391601300000002,0.5641935020000001,-0.62451216,0.876401675,0.7534250259999999,-0.050153055,-0.45915133,-0.27794869899999997,0.546390345,0.740277236,0.138417735,0.47030671700000004,0.901154418,0.333781103,0.144210709,0.797898827,-0.67424593,-0.546721096,0.47392698,0.268210911,0.6780915390000001,-0.258448723,0.318913289,0.712505442,0.019379378,-0.36410480799999995,0.954626366,-0.18900625199999999,0.600348408,0.251422452,-0.164083326,0.14865634,-0.74862078,0.237627038,0.097641948,-0.313040405,0.083465573,0.27568092,-0.719091235,0.80949881,0.897009402,-0.048210947999999997,0.015101315,0.064538163,0.064840803,-0.48680857200000005,-0.846999298,0.316075979,0.07967651,0.086010398,-0.08553822,0.17142915399999997,0.48644059700000003,0.954446294,0.587035565,-0.055421617,0.7982670159999999,0.240123688,0.042250841,0.0044683890000000006,-0.163232614,0.18975869899999998,0.597245396,0.134896025,-0.047533123,0.958128172,-0.7836440929999999,-0.753976251,0.514353533,0.040415273,-0.24734387300000002,0.37540379,-0.072303215,0.149812413,0.31235958399999997,0.48948287700000004,-0.15146310000000002,0.839729519,0.265139828,0.06806211599999999,-0.057443435999999994,0.538195571,0.16193651,0.611206258,-0.520109963,-0.43102607600000004,-0.388997909,0.084314935,-0.199789663,0.021434712,0.032892725,0.405212545,0.059540011,-0.77458969,-0.751576254,0.677074785,0.0,0.058823529000000006,0.352941176,0.176470588,0.117647059,0.235294118,0.235294118,0.176470588,0.352941176,0.41176470600000004,1.0,0.470588235,0.470588235,0.352941176,0.294117647,0.352941176,0.235294118,0.352941176,0.235294118,0.735294118,0.552159872,0.096795515,0.033337964,0.18537691,0.323073151,0.149592298,0.379046335,0.167834597,0.330971493,0.277377723,0.503099734,-1.62075159,0.479499501,-1.99888858,0.070237618,0.17204768899999998,0.49166666700000006,,120,0.058333333,0,0,1,840,0,7,0,7,0,0,0,1,0.0
6,acute-inflammation,-0.438076851,0.733124507,0.912446592,0.075614762,0.292887861,-0.684230179,0.33805535600000003,0.292521712,-0.332913158,-0.15391601300000002,0.5641935020000001,-0.62451216,0.876401675,0.7534250259999999,-0.050153055,-0.45915133,-0.27794869899999997,0.546390345,0.740277236,0.138417735,0.47030671700000004,0.901154418,0.333781103,0.144210709,0.797898827,-0.67424593,-0.546721096,0.47392698,0.268210911,0.6780915390000001,-0.258448723,0.318913289,0.712505442,0.019379378,-0.36410480799999995,0.954626366,-0.18900625199999999,0.600348408,0.251422452,-0.164083326,0.14865634,-0.74862078,0.237627038,0.097641948,-0.313040405,0.083465573,0.27568092,-0.719091235,0.80949881,0.897009402,-0.048210947999999997,0.015101315,0.064538163,0.064840803,-0.48680857200000005,-0.846999298,0.316075979,0.07967651,0.086010398,-0.08553822,0.17142915399999997,0.48644059700000003,0.954446294,0.587035565,-0.055421617,0.7982670159999999,0.240123688,0.042250841,0.0044683890000000006,-0.163232614,0.18975869899999998,0.597245396,0.134896025,-0.047533123,0.958128172,-0.7836440929999999,-0.753976251,0.514353533,0.040415273,-0.24734387300000002,0.37540379,-0.072303215,0.149812413,0.31235958399999997,0.48948287700000004,-0.15146310000000002,0.839729519,0.265139828,0.06806211599999999,-0.057443435999999994,0.538195571,0.16193651,0.611206258,-0.520109963,-0.43102607600000004,-0.388997909,0.084314935,-0.199789663,0.021434712,0.032892725,0.405212545,0.059540011,-0.77458969,-0.751576254,0.677074785,0.0,0.058823529000000006,0.352941176,0.176470588,0.117647059,0.235294118,0.235294118,0.176470588,0.352941176,0.41176470600000004,1.0,0.470588235,0.470588235,0.352941176,0.294117647,0.352941176,0.235294118,0.352941176,0.235294118,0.735294118,0.552159872,0.096795515,0.033337964,0.18537691,0.323073151,0.149592298,0.379046335,0.167834597,0.330971493,0.277377723,0.503099734,-1.62075159,0.479499501,-1.99888858,0.070237618,0.17204768899999998,0.49166666700000006,,120,0.058333333,0,0,1,840,0,7,0,7,0,0,1,0,1.0
7,acute-inflammation,-0.438076851,0.733124507,0.912446592,0.075614762,0.292887861,-0.684230179,0.33805535600000003,0.292521712,-0.332913158,-0.15391601300000002,0.5641935020000001,-0.62451216,0.876401675,0.7534250259999999,-0.050153055,-0.45915133,-0.27794869899999997,0.546390345,0.740277236,0.138417735,0.47030671700000004,0.901154418,0.333781103,0.144210709,0.797898827,-0.67424593,-0.546721096,0.47392698,0.268210911,0.6780915390000001,-0.258448723,0.318913289,0.712505442,0.019379378,-0.36410480799999995,0.954626366,-0.18900625199999999,0.600348408,0.251422452,-0.164083326,0.14865634,-0.74862078,0.237627038,0.097641948,-0.313040405,0.083465573,0.27568092,-0.719091235,0.80949881,0.897009402,-0.048210947999999997,0.015101315,0.064538163,0.064840803,-0.48680857200000005,-0.846999298,0.316075979,0.07967651,0.086010398,-0.08553822,0.17142915399999997,0.48644059700000003,0.954446294,0.587035565,-0.055421617,0.7982670159999999,0.240123688,0.042250841,0.0044683890000000006,-0.163232614,0.18975869899999998,0.597245396,0.134896025,-0.047533123,0.958128172,-0.7836440929999999,-0.753976251,0.514353533,0.040415273,-0.24734387300000002,0.37540379,-0.072303215,0.149812413,0.31235958399999997,0.48948287700000004,-0.15146310000000002,0.839729519,0.265139828,0.06806211599999999,-0.057443435999999994,0.538195571,0.16193651,0.611206258,-0.520109963,-0.43102607600000004,-0.388997909,0.084314935,-0.199789663,0.021434712,0.032892725,0.405212545,0.059540011,-0.77458969,-0.751576254,0.677074785,0.0,0.058823529000000006,0.352941176,0.176470588,0.117647059,0.235294118,0.235294118,0.176470588,0.352941176,0.41176470600000004,1.0,0.470588235,0.470588235,0.352941176,0.294117647,0.352941176,0.235294118,0.352941176,0.235294118,0.735294118,0.552159872,0.096795515,0.033337964,0.18537691,0.323073151,0.149592298,0.379046335,0.167834597,0.330971493,0.277377723,0.503099734,-1.62075159,0.479499501,-1.99888858,0.070237618,0.17204768899999998,0.49166666700000006,,120,0.058333333,0,0,1,840,0,7,0,7,1,0,0,0,0.0
8,acute-nephritis,-0.668321727,0.9117249759999999,0.999976317,-0.835611815,0.9117012240000001,-0.16928086,-0.16928086,-0.16928086,-0.666311427,0.72383659,0.9117249759999999,-0.6665245710000001,0.9117249759999999,0.970633511,-0.602668202,-0.66834548,0.64262892,-0.602692025,-0.169782538,-0.169782538,-0.169782538,0.691259051,-0.754726635,-0.602668202,0.8122085029999999,-0.602668202,-0.751963388,0.9117012240000001,-0.9616868479999999,0.9999761770000001,-0.10469923199999999,-0.10469923199999999,-0.10469923199999999,-0.368838028,0.827544918,1.0,-0.7920977659999999,1.0,0.882271457,-0.835611815,0.9117249759999999,-0.16928086,-0.16928086,-0.16928086,-0.6653562270000001,0.723860272,0.9117012240000001,-0.666548253,0.9117012240000001,0.971588711,-0.9616868479999999,-0.160817769,-0.160817769,-0.160817769,0.377578711,-0.7764758820000001,-0.9616868479999999,0.830922622,-0.9616868479999999,-0.8058030740000001,-0.10469923199999999,-0.10469923199999999,-0.10469923199999999,-0.367879997,0.827568671,0.9999761770000001,-0.792121519,0.9999761770000001,0.883229488,1.0,1.0,-0.16928086,-0.16928086,-0.10469923199999999,-0.16928086,-0.10469923199999999,-0.16928086,1.0,-0.16928086,-0.16928086,-0.10469923199999999,-0.16928086,-0.10469923199999999,-0.16928086,-0.16928086,-0.16928086,-0.10469923199999999,-0.16928086,-0.10469923199999999,-0.16928086,-0.23859482899999998,-0.368838028,0.295906848,-0.368838028,-0.636944938,0.827544918,-0.942687981,0.827544918,0.807231103,-0.7920977659999999,1.0,0.882271457,-0.7920977659999999,-0.7499190840000001,0.882271457,0.13888888900000002,0.083333333,0.222222222,0.305555556,0.0,0.0,0.111111111,0.027777778,1.0,0.0,0.0,0.0,0.027777778,0.027777778,0.0,0.0,0.055555556,0.055555556,0.305555556,0.7638888890000001,0.522625209,0.126953789,0.338061702,0.188759192,0.315028633,0.236542785,0.338243267,0.219063941,0.339485904,0.451157979,0.362360478,-1.653871927,0.457010391,-1.885714286,0.052082745,0.13779977,0.41666666700000005,,120,0.066666667,0,0,1,960,0,8,0,8,0,1,0,0,0.0
9,acute-nephritis,-0.668321727,0.9117249759999999,0.999976317,-0.835611815,0.9117012240000001,-0.16928086,-0.16928086,-0.16928086,-0.666311427,0.72383659,0.9117249759999999,-0.6665245710000001,0.9117249759999999,0.970633511,-0.602668202,-0.66834548,0.64262892,-0.602692025,-0.169782538,-0.169782538,-0.169782538,0.691259051,-0.754726635,-0.602668202,0.8122085029999999,-0.602668202,-0.751963388,0.9117012240000001,-0.9616868479999999,0.9999761770000001,-0.10469923199999999,-0.10469923199999999,-0.10469923199999999,-0.368838028,0.827544918,1.0,-0.7920977659999999,1.0,0.882271457,-0.835611815,0.9117249759999999,-0.16928086,-0.16928086,-0.16928086,-0.6653562270000001,0.723860272,0.9117012240000001,-0.666548253,0.9117012240000001,0.971588711,-0.9616868479999999,-0.160817769,-0.160817769,-0.160817769,0.377578711,-0.7764758820000001,-0.9616868479999999,0.830922622,-0.9616868479999999,-0.8058030740000001,-0.10469923199999999,-0.10469923199999999,-0.10469923199999999,-0.367879997,0.827568671,0.9999761770000001,-0.792121519,0.9999761770000001,0.883229488,1.0,1.0,-0.16928086,-0.16928086,-0.10469923199999999,-0.16928086,-0.10469923199999999,-0.16928086,1.0,-0.16928086,-0.16928086,-0.10469923199999999,-0.16928086,-0.10469923199999999,-0.16928086,-0.16928086,-0.16928086,-0.10469923199999999,-0.16928086,-0.10469923199999999,-0.16928086,-0.23859482899999998,-0.368838028,0.295906848,-0.368838028,-0.636944938,0.827544918,-0.942687981,0.827544918,0.807231103,-0.7920977659999999,1.0,0.882271457,-0.7920977659999999,-0.7499190840000001,0.882271457,0.13888888900000002,0.083333333,0.222222222,0.305555556,0.0,0.0,0.111111111,0.027777778,1.0,0.0,0.0,0.0,0.027777778,0.027777778,0.0,0.0,0.055555556,0.055555556,0.305555556,0.7638888890000001,0.522625209,0.126953789,0.338061702,0.188759192,0.315028633,0.236542785,0.338243267,0.219063941,0.339485904,0.451157979,0.362360478,-1.653871927,0.457010391,-1.885714286,0.052082745,0.13779977,0.41666666700000005,,120,0.066666667,0,0,1,960,0,8,0,8,0,0,0,1,0.0
